2019-10-24, 20:29:35.263479, dax@gmail.com, Buy 4 lambrusco 2007
2019-10-29, 12:01:52.435706100, dax@gmail.com, Logged
2019-10-29, 12:02:14.074730700, dax@gmail.com, Search wine
2019-10-29, 12:09:25.383269300, dax@gmail.com, Logged
2019-10-29, 12:09:26.888255700, dax@gmail.com, Read Notify
2019-10-29, 12:50:30.690306600, dax@gmail.com, Logged
2019-10-29, 12:50:36.400122800, dax@gmail.com, Read Notify
2019-10-29, 12:51:21.327213600, dax@gmail.com, Logged
2019-10-29, 12:51:47.079602100, dax@gmail.com, Read Notify
2019-10-29, 13:23:00.275558800, mattia@gmail.com, Logged
2019-10-29, 13:24:36.382438100, mattia@gmail.com, Logged
2019-10-29, 13:24:41.143134500, mattia@gmail.com, Process requests
2019-10-29, 13:27:16.167234100, mattia@gmail.com, Logged
2019-10-29, 13:27:19.676148300, mattia@gmail.com, Process requests
2019-10-29, 13:29:24.466777200, dax@gmail.com, Logged
2019-10-29, 13:29:33.415355800, dax@gmail.com, Read Notify
2019-10-29, 13:30:50.798152800, dax@gmail.com, Logged
2019-10-29, 13:30:53.938485600, dax@gmail.com, Logout
2019-10-29, 13:31:05.639495900, mattia@gmail.com, Logged
2019-10-29, 13:31:20.318595600, mattia@gmail.com, Process requests
2019-10-29, 13:33:59.192417500, dax@gmail.com, Logged
2019-10-29, 13:34:05.395068900, dax@gmail.com, Read Notify
2019-10-29, 13:36:14.879755600, dax@gmail.com, Logged
2019-10-29, 13:37:07.620792300, dax@gmail.com, Logged
2019-10-29, 13:37:27.880536600, dax@gmail.com, Read Notify
2019-10-29, 14:01:40.443828200, locastromattia@hotmail.it, Registered
2019-10-29, 14:04:56.017665800, mattia@hotmail.it, Login Failed
2019-10-29, 14:05:05.232658500, mattia@hotmail.it, Login Failed
2019-10-29, 14:05:36.437245100, locastromattia@hotmail.it, Logged
2019-10-29, 14:07:35.321806200, locastromattia@hotmail.it, Logged
2019-10-29, 14:08:03.238326500, locastromattia@hotmail.it, Add wine
2019-10-29, 14:08:10.320507300, locastromattia@hotmail.it, Process orders
2019-10-29, 14:08:12.199374900, locastromattia@hotmail.it, Process requests
2019-10-29, 14:13:56.954328800, dax@gmail.com, Logged
2019-10-29, 14:13:59.481738900, dax@gmail.com, Read Notify
2019-10-29, 14:15:21.799802800, dax@gmail.com, Logged
2019-10-29, 14:15:27.432758900, dax@gmail.com, Search wine
2019-10-29, 14:15:36.448325500, dax@gmail.com, Buy 4 lambrusco 2007
2019-10-29, 14:15:41.746689200, dax@gmail.com, Logout
2019-10-29, 14:15:49.894307800, mattia@gmail.com, Logged
2019-10-29, 14:16:02.974927900, mattia@gmail.com, Process orders
2019-10-29, 14:16:10.903136500, mattia@gmail.com, Process requests
2019-10-29, 14:43:16.571110600, dax@gmail.com, Logged
2019-10-29, 14:43:29.207042100, dax@gmail.com, Search wine
2019-10-29, 14:43:39.072363500, dax@gmail.com, Logout
2019-10-29, 14:43:46.312205100, mattia@gmail.com, Logged
2019-10-29, 14:43:53.173592300, mattia@gmail.com, Process requests
